Delta.M1,Delta.Inter,Delta.COV,Delta.gravi,Ord.M1,Error
0.8,0.91,0.96,1,1,0.782748584
0.8,0.91,0.96,1,2,1.352712809
0.8,0.91,0.97,0.9,1,0.830030012
0.8,0.91,0.97,0.9,2,1.796045585
0.8,0.91,0.97,0.91,1,0.818081196
0.8,0.91,0.97,0.91,2,1.601278954
0.8,0.91,0.97,0.92,1,0.80888001
0.8,0.91,0.97,0.92,2,1.503476345
0.8,0.91,0.97,0.93,1,0.802211501
0.8,0.91,0.97,0.93,2,1.449779243
0.8,0.91,0.97,0.94,1,0.797136002
0.8,0.91,0.97,0.94,2,1.417452346
0.8,0.91,0.97,0.95,1,0.793138181
0.8,0.91,0.97,0.95,2,1.396801823
0.8,0.91,0.97,0.96,1,0.790091849
0.8,0.91,0.97,0.96,2,1.382573926
0.8,0.91,0.97,0.97,1,0.787876965
0.8,0.91,0.97,0.97,2,1.372200029
0.8,0.91,0.97,0.98,1,0.786007603
0.8,0.91,0.97,0.98,2,1.364148572
0.8,0.91,0.97,0.99,1,0.784295964
0.8,0.91,0.97,0.99,2,1.357713516
0.8,0.91,0.97,1,1,0.782650262
0.8,0.91,0.97,1,2,1.352450925
0.8,0.91,0.98,0.9,1,0.829728245
0.8,0.91,0.98,0.9,2,1.79398663
0.8,0.91,0.98,0.91,1,0.817829441
0.8,0.91,0.98,0.91,2,1.600056128
0.8,0.91,0.98,0.92,1,0.808666955
0.8,0.91,0.98,0.92,2,1.502663019
0.8,0.91,0.98,0.93,1,0.80202908
0.8,0.91,0.98,0.93,2,1.44917741
0.8,0.91,0.98,0.94,1,0.796976555
0.8,0.91,0.98,0.94,2,1.416975664
0.8,0.91,0.98,0.95,1,0.793002448
0.8,0.91,0.98,0.95,2,1.396403872
0.8,0.91,0.98,0.96,1,0.789975062
0.8,0.91,0.98,0.96,2,1.382228272
0.8,0.91,0.98,0.97,1,0.78776927
0.8,0.91,0.98,0.97,2,1.371891091
0.8,0.91,0.98,0.98,1,0.785905928
0.8,0.91,0.98,0.98,2,1.363866884
0.8,0.91,0.98,0.99,1,0.784198956
0.8,0.91,0.98,0.99,2,1.357453108
0.8,0.91,0.98,1,1,0.782556948
0.8,0.91,0.98,1,2,1.352207843
0.8,0.91,0.99,0.9,1,0.829447311
0.8,0.91,0.99,0.9,2,1.792111824
0.8,0.91,0.99,0.91,1,0.817594765
0.8,0.91,0.99,0.91,2,1.598941514
0.8,0.91,0.99,0.92,1,0.808468065
0.8,0.91,0.99,0.92,2,1.501920578
0.8,0.91,0.99,0.93,1,0.80185853
0.8,0.91,0.99,0.93,2,1.448626773
0.8,0.91,0.99,0.94,1,0.796827193
0.8,0.91,0.99,0.94,2,1.41653836
0.8,0.91,0.99,0.95,1,0.792882141
0.8,0.91,0.99,0.95,2,1.396037753
0.8,0.91,0.99,0.96,1,0.789865205
0.8,0.91,0.99,0.96,2,1.381909396
0.8,0.91,0.99,0.97,1,0.787667519
0.8,0.91,0.99,0.97,2,1.371605396
0.8,0.91,0.99,0.98,1,0.785809662
0.8,0.91,0.99,0.98,2,1.363605853
0.8,0.91,0.99,0.99,1,0.784106937
0.8,0.91,0.99,0.99,2,1.357211379
0.8,0.91,0.99,1,1,0.782468287
0.8,0.91,0.99,1,2,1.351981866
0.8,0.91,1,0.9,1,0.829185358
0.8,0.91,1,0.9,2,1.790400809
0.8,0.91,1,0.91,1,0.817375687
0.8,0.91,1,0.91,2,1.597923446
0.8,0.91,1,0.92,1,0.80828214
0.8,0.91,1,0.92,2,1.501241568
0.8,0.91,1,0.93,1,0.80169887
0.8,0.91,1,0.93,2,1.448122106
0.8,0.91,1,0.94,1,0.796687103
