"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"MSE"
1;0,99;0,84;0,86;8;0;76,8006607014527
1;1;0,89;0,99;8;0;76,8010644828554
1;0,97;0,89;0,95;8;0;76,8032204369216
1;0,96;0,9;1;8;0;76,8033819574053
1;0,98;0,85;0,88;8;0;76,8037949682818
1;0,96;0,88;0,95;8;0;76,8041052629652
1;1;0,88;0,89;8;0;76,8043605213326
1;0,97;0,84;0,97;8;0;76,8053813232117
1;0,91;0,98;0,99;8;0;76,8055369963541
1;0,98;0,87;0,88;8;0;76,8057271711812
1;0,97;0,86;0,91;8;0;76,8064278818249
1;1;0,81;0,89;8;0;76,8068212864012
1;0,99;0,89;0,98;8;0;76,8071668618098
1;0,97;0,85;0,93;8;0;76,8071804216256
1;0,91;0,99;0,97;8;0;76,8081397790231
1;0,99;0,82;0,9;8;0;76,8086026379237
1;0,98;0,82;0,97;8;0;76,8088488178173
1;0,99;0,85;0,85;8;0;76,8094044839788
1;0,9;0,99;0,95;8;0;76,8094635283501
1;0,91;1;0,98;8;0;76,8095437005699
1;1;0,8;0,93;8;0;76,8098925241824
1;0,89;1;0,94;8;0;76,8107709335886
1;0,98;0,89;0,96;8;0;76,810840226406
1;0,96;0,86;1;8;0;76,8109084338078
1;0,99;0,81;0,94;8;0;76,8109757451907
1;1;0,85;0,83;8;0;76,8110922174929
1;1;0,89;0,98;8;0;76,8116944652697
1;0,96;0,87;0,96;8;0;76,8118133916916
1;0,98;0,88;0,9;8;0;76,8127911954052
1;0,97;0,88;0,91;8;0;76,8130632968194
1;0,96;0,9;0,99;8;0;76,8137232736473
1;0,99;0,86;0,85;8;0;76,8142610908547
1;0,98;0,83;0,92;8;0;76,8143999713392
1;1;0,87;0,85;8;0;76,8144921875342
1;0,96;0,89;0,95;8;0;76,8146663164387
1;0,97;0,87;0,9;8;0;76,8152547214887
1;1;0,82;0,86;8;0;76,8158269948185
1;0,98;0,86;0,87;8;0;76,8170906313681
1;0,91;0,98;0,98;8;0;76,8171440250443
1;0,9;1;0,91;8;0;76,8174380687728
1;0,97;0,89;0,94;8;0;76,8183873675253
1;0,99;0,89;0,97;8;0;76,8186720320147
1;0,98;0,84;0,89;8;0;76,819995267208
1;0,99;0,83;0,87;8;0;76,8203892604934
1;0,96;0,88;0,94;8;0;76,8204463495169
1;0,97;0,84;0,96;8;0;76,820638266211
1;0,91;0,99;0,96;8;0;76,8214305457601
1;0,91;1;0,97;8;0;76,8215216724
1;0,99;0,87;0,86;8;0;76,8221055651632
1;0,99;0,8;1;8;0;76,8225849303837
1;0,96;0,86;0,99;8;0;76,8226260015034
1;1;0,89;0,97;8;0;76,8231455661499
1;0,99;0,88;0,89;8;0;76,8232029382855
1;0,98;0,89;0,95;8;0;76,8244580465089
1;1;0,84;0,83;8;0;76,8245221806779
1;0,98;0,82;0,96;8;0;76,8247504354649
1;0,96;0,9;0,98;8;0;76,8248912227509
1;1;0,83;0,84;8;0;76,8250214009993
1;0,9;0,99;0,94;8;0;76,825858781077
1;0,96;0,87;0,95;8;0;76,8273772188343
1;0,97;0,85;0,92;8;0;76,8274792800102
1;1;0,88;0,88;8;0;76,8287891537788
1;0,95;0,9;1;8;0;76,8288328741693
1;0,89;1;0,93;8;0;76,8288403317373
1;0,97;0,86;0,9;8;0;76,8295840915087
1;0,91;0,98;0,97;8;0;76,829725725309
1;0,96;0,89;0,94;8;0;76,8305081706974
1;1;0,86;0,83;8;0;76,8310733582846
1;0,99;0,89;0,96;8;0;76,8310958056172
1;0,99;0,81;0,93;8;0;76,8313839169283
1;1;0,8;0,92;8;0;76,8324986006534
1;0,98;0,85;0,87;8;0;76,8334359478349
1;0,98;0,87;0,87;8;0;76,8337818943473
1;0,91;1;0,96;8;0;76,8344907695028
1;0,97;0,88;0,9;8;0;76,8348594167877
1;0,97;0,89;0,93;8;0;76,8348618054959
1;0,96;0,86;0,98;8;0;76,8352978896428
1;1;0,89;0,96;8;0;76,835504149556
1;0,99;0,82;0,89;8;0;76,8356450778332
1;0,98;0,88;0,89;8;0;76,8358036373775
1;0,91;0,99;0,95;8;0;76,8358523453339
1;0,99;0,84;0,85;8;0;76,8359664234065
1;0,99;0,8;0,99;8;0;76,8360082710552
1;1;0,81;0,88;8;0;76,8367082607086
1;0,96;0,9;0,97;8;0;76,8369703099155
1;0,97;0,84;0,95;8;0;76,8371596705838
