"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"Error"
1;0,86;0,98;0,99;8;0;0,14841648865112
1;1;0,8;1;7;0;0,14842173808458
1;0,99;0,81;1;7;0;0,148423490313983
1;0,87;0,96;0,99;8;0;0,14842605538739
1;0,89;0,92;0,99;8;0;0,148429675995777
1;0,88;0,94;0,99;8;0;0,148431464880615
1;0,9;0,93;1;7;0;0,148444223410791
1;0,99;0,91;1;7;0;0,148447866252358
1;0,91;0,88;0,99;8;0;0,148452977025511
1;0,96;0,99;0,99;8;0;0,148465462035072
1;0,96;0,81;1;8;0;0,148466275960474
1;0,95;0,83;1;8;0;0,148468319155873
1;0,97;0,93;1;7;0;0,148473194846845
1;0,91;0,91;1;7;0;0,148481299637275
1;1;0,91;1;7;0;0,148481793648973
1;0,94;0,86;1;7;0;0,148482574352073
1;0,9;0,9;0,99;8;0;0,148483457088715
1;0,92;0,89;1;7;0;0,148486677276872
1;0,87;0,99;1;7;0;0,14848820359392
1;0,94;1;1;7;0;0,148491694518326
1;0,97;0,82;1;7;0;0,148514474321822
1;0,86;1;1;8;0;0,14852524077467
1;0,89;0,95;1;8;0;0,148526033081121
1;0,98;0,92;1;7;0;0,14852722440939
1;0,94;0,85;1;8;0;0,148529840018848
1;0,96;0,83;1;7;0;0,148531642157739
1;0,98;0,81;1;7;0;0,148563366523928
1;0,94;0,81;0,99;8;0;0,148565057704353
1;0,93;0,87;1;7;0;0,148569639097262
1;0,93;0,83;0,99;8;0;0,148576869157503
1;0,95;0,97;1;7;0;0,14858233967566
1;0,99;0,8;1;7;0;0,148591633826023
1;0,96;0,95;1;7;0;0,148601129865325
1;0,95;0,84;1;7;0;0,148603803201751
1;0,93;0,87;1;8;0;0,148607619003192
1;0,92;0,85;0,99;8;0;0,148629895490075
1;0,89;0,94;1;7;0;0,148643025158099
1;0,88;0,96;1;7;0;0,148687549672889
1;0,94;0,85;1;7;0;0,148688257206871
1;0,92;0,89;1;8;0;0,148692607272401
1;0,97;0,81;1;7;0;0,148693760796805
1;0,99;0,92;1;7;0;0,148695148090079
1;0,9;0,92;1;7;0;0,148704425565733
1;0,87;0,98;1;8;0;0,148715082609087
1;0,96;0,82;1;7;0;0,148718022038726
1;0,92;0,88;1;7;0;0,148718123740496
1;0,9;0,93;1;8;0;0,148726910284526
1;0,91;0,9;1;7;0;0,148726974006482
1;0,98;0,8;1;7;0;0,148739142082319
1;0,91;0,87;0,99;8;0;0,148747123948885
1;1;0,92;1;7;0;0,148751417125585
1;0,97;0,94;1;7;0;0,148753919428844
